City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tasiilaq,65.6145,-37.6368,-4.91,96,100,2.03,GL,1675639615
1,castro,-24.7911,-50.0119,18.62,78,56,2.45,BR,1675639571
2,busselton,-33.65,115.3333,20.07,75,26,4.64,AU,1675639789
3,soyo,-6.1349,12.3689,25.76,84,88,2.38,AO,1675639827
4,rikitea,-23.1203,-134.9692,26.17,74,3,6.78,PF,1675639557
5,avarua,-21.2078,-159.775,28.03,83,75,5.66,CK,1675639555
6,jamestown,42.097,-79.2353,5.8,60,100,6.17,US,1675639463
7,mehamn,71.0357,27.8492,2.97,87,75,10.8,NO,1675639828
8,ponta do sol,32.6667,-17.1,16.35,52,34,2.13,PT,1675639642
9,kahului,20.8947,-156.47,27.01,72,40,10.29,US,1675639699
10,bluff,-46.6,168.3333,14.73,85,55,11.08,NZ,1675639541
11,gavrilovka vtoraya,52.877,42.7663,-11.96,97,84,2.27,RU,1675639829
12,faanui,-16.4833,-151.75,27.5,74,16,6.83,PF,1675639615
13,manta,-0.95,-80.7333,28.88,70,75,3.6,EC,1675639810
14,mount gambier,-37.8333,140.7667,16.89,63,36,2.27,AU,1675639645
15,chokurdakh,70.6333,147.9167,-41.14,100,66,0.51,RU,1675639638
16,jalu,29.0331,21.5482,10.97,50,16,5.48,LY,1675639831
17,mungwi,-10.1732,31.3694,15.6,97,99,1.62,ZM,1675639831
18,beringovskiy,63.05,179.3167,-28.13,93,98,5.37,RU,1675639592
19,belmonte,-15.8631,-38.8828,26.3,80,1,4.32,BR,1675639832
20,tselinnoye,53.0833,85.6667,-20.88,100,83,1.95,RU,1675639832
21,srandakan,-7.9386,110.2506,25.47,84,93,1.41,ID,1675639832
22,georgetown,5.4112,100.3354,25.96,98,20,1.03,MY,1675639400
23,murgab,37.4966,61.9714,2.93,81,60,3.09,TM,1675639583
24,mar del plata,-38.0023,-57.5575,28.01,47,0,4.63,AR,1675639574
25,hobyo,5.3505,48.5268,24.65,78,32,7.41,SO,1675639727
26,saint-philippe,-21.3585,55.7679,25.77,86,100,4.84,RE,1675639660
27,avera,33.194,-82.5271,13.73,77,46,1.95,US,1675639629
28,ayr,55.4627,-4.6339,6.39,81,75,2.57,GB,1675639834
29,awjilah,29.1081,21.2869,11.56,47,22,5.66,LY,1675639835
30,vestmannaeyjar,63.4427,-20.2734,6.33,76,100,15.7,IS,1675639737
31,butaritari,3.0707,172.7902,26.7,84,100,8.03,KI,1675639543
32,krasnokamensk,50.0979,118.0369,-29.5,100,87,1.42,RU,1675639836
33,newport,51.5877,-2.9984,2.51,87,78,0.29,GB,1675639669
34,hobart,-42.8794,147.3294,19.92,52,40,7.72,AU,1675639427
35,cape town,-33.9258,18.4232,22.99,75,0,7.15,ZA,1675639548
36,hithadhoo,-0.6,73.0833,27.01,70,86,4.3,MV,1675639654
37,barrow,71.2906,-156.7887,-27.99,83,100,0.0,US,1675639548
38,atuona,-9.8,-139.0333,25.86,78,44,8.52,PF,1675639544
39,kemijarvi,66.7131,27.4306,-8.83,97,100,0.92,FI,1675639837
40,thinadhoo,0.5333,72.9333,27.05,69,100,3.32,MV,1675639838
41,tamandare,-8.7597,-35.1047,26.21,82,17,3.36,BR,1675639776
42,lagoa,39.05,-27.9833,15.13,84,99,4.54,PT,1675639689
43,qaanaaq,77.484,-69.3632,-18.35,55,5,2.97,GL,1675639547
44,kurumkan,54.3,110.3,-21.63,95,73,1.67,RU,1675639839
45,bredasdorp,-34.5322,20.0403,20.9,85,100,4.07,ZA,1675639542
46,zheleznogorsk,52.331,35.3711,-6.25,96,91,3.24,RU,1675639839
47,baiquan,47.5833,126.0833,-22.23,100,68,2.63,CN,1675639840
48,berbera,10.4396,45.0143,23.11,69,100,2.25,SO,1675639840
49,nome,64.5011,-165.4064,-8.96,79,75,1.54,US,1675639572
50,hole narsipur,12.7828,76.2431,17.28,62,41,1.29,IN,1675639841
51,thompson,55.7435,-97.8558,-13.91,85,100,1.54,CA,1675639640
52,narsaq,60.9167,-46.05,-7.88,73,100,7.55,GL,1675639566
53,kogon,39.7228,64.5517,2.02,75,0,4.12,UZ,1675639841
54,port alfred,-33.5906,26.891,22.32,95,51,4.52,ZA,1675639545
55,abu kamal,34.4506,40.9171,11.43,50,84,5.1,SY,1675639669
56,nueva guinea,11.6876,-84.4562,22.51,80,5,5.17,NI,1675639842
57,puerto ayora,-0.7393,-90.3518,26.97,91,35,3.58,EC,1675639558
58,ilebo,-4.3167,20.5833,20.78,96,67,0.52,CD,1675639842
59,aripuana,-9.1667,-60.6333,22.83,97,66,0.55,BR,1675639843
60,cidreira,-30.1811,-50.2056,23.78,76,64,4.39,BR,1675639538
61,geraldton,-28.7667,114.6,23.23,73,100,5.14,AU,1675639583
62,tuktoyaktuk,69.4541,-133.0374,-43.0,66,40,2.06,CA,1675639714
63,constitucion,-35.3333,-72.4167,15.06,93,16,2.55,CL,1675639844
64,punta arenas,-53.15,-70.9167,11.06,62,0,7.2,CL,1675639552
65,kapaa,22.0752,-159.319,27.18,79,40,6.69,US,1675639577
66,cabo san lucas,22.8909,-109.9124,27.56,31,0,4.63,MX,1675639567
67,ushuaia,-54.8,-68.3,7.81,57,40,13.89,AR,1675639845
68,rocha,-34.4833,-54.3333,19.04,80,0,2.47,UY,1675639700
69,vardo,70.3705,31.1107,-7.01,93,100,11.83,NO,1675639705
70,hermanus,-34.4187,19.2345,21.0,87,89,5.01,ZA,1675639543
71,yulara,-25.2406,130.9889,24.0,17,0,4.81,AU,1675639645
72,williams lake,52.1415,-122.1445,6.76,60,75,4.63,CA,1675639840
73,puerto escondido,15.85,-97.0667,28.46,61,20,2.57,MX,1675639846
74,dikson,73.5069,80.5464,-19.1,97,100,0.74,RU,1675639539
75,port blair,11.6667,92.75,25.02,88,40,0.0,IN,1675639847
76,port hardy,50.6996,-127.4199,7.1,81,75,2.06,CA,1675639534
77,kulhudhuffushi,6.6221,73.07,26.59,75,42,0.94,MV,1675639847
78,tiksi,71.6872,128.8694,-32.35,100,100,1.63,RU,1675639616
79,gat,31.61,34.7642,13.55,3,93,6.57,IL,1675639563
80,vaini,-21.2,-175.2,28.09,74,75,1.03,TO,1675639561
81,leh,34.1667,77.5833,-14.61,74,100,1.1,IN,1675639848
82,victoria,22.2855,114.1577,19.97,88,95,1.79,HK,1675639190
83,bengkulu,-3.8004,102.2655,23.18,87,95,3.45,ID,1675639404
84,port elizabeth,-33.918,25.5701,24.5,93,75,6.17,ZA,1675639576
85,cherskiy,68.75,161.3,-41.29,100,100,2.06,RU,1675639542
86,xiaoweizhai,26.1903,107.5125,7.37,96,100,0.69,CN,1675639849
87,katsuura,35.1333,140.3,8.74,76,3,3.58,JP,1675639411
88,vilyuysk,63.7553,121.6247,-47.53,100,79,1.72,RU,1675639849
89,albany,42.6001,-73.9662,5.03,55,95,2.22,US,1675639303
90,saint george,37.1041,-113.5841,11.33,62,100,8.75,US,1675639574
91,nalut,30.3333,10.85,8.32,66,78,3.66,LY,1675639850
92,flic en flac,-20.2742,57.3631,26.31,82,96,4.1,MU,1675639851
93,jutai,-5.1833,-68.9,22.56,98,99,0.42,BR,1675639851
94,iskateley,67.6803,53.1512,-18.26,99,96,3.49,RU,1675639851
95,wajid,3.8093,43.2471,21.93,49,45,5.91,SO,1675639852
96,carnarvon,-24.8667,113.6333,24.84,73,2,6.8,AU,1675639573
97,mataura,-46.1927,168.8643,16.01,75,90,5.66,NZ,1675639558
98,chumikan,54.7183,135.315,-23.6,91,53,7.05,RU,1675639853
99,saskylakh,71.9167,114.0833,-41.6,100,94,1.84,RU,1675639604
100,new norfolk,-42.7826,147.0587,19.72,59,99,1.34,AU,1675639614
101,uvat,59.1433,68.8953,-17.57,99,100,0.91,RU,1675639853
102,kruisfontein,-34.0033,24.7314,23.27,87,76,3.54,ZA,1675639665
103,nuuk,64.1835,-51.7216,-11.18,85,100,2.68,GL,1675639581
104,touros,-5.1989,-35.4608,26.74,75,79,4.97,BR,1675639696
105,kokoda,-8.8785,147.7407,26.42,85,100,0.24,PG,1675639854
106,mitsamiouli,-11.3847,43.2844,27.34,79,100,4.25,KM,1675639775
107,medicine hat,50.0501,-110.6683,6.24,64,75,7.2,CA,1675639594
108,iquique,-20.2208,-70.1431,25.02,80,76,1.61,CL,1675639854
109,sao felix do xingu,-6.6447,-51.995,24.01,84,81,1.12,BR,1675639855
110,anadyr,64.75,177.4833,-30.56,74,75,6.0,RU,1675639758
111,ahuimanu,21.4447,-157.8378,27.84,75,40,9.26,US,1675639855
112,pisco,-13.7,-76.2167,25.03,78,0,7.72,PE,1675639595
113,margate,51.3813,1.3862,5.39,86,73,1.79,GB,1675639780
114,mahebourg,-20.4081,57.7,26.16,89,75,2.57,MU,1675639565
115,ribeira grande,38.5167,-28.7,16.54,90,100,4.47,PT,1675639564
116,saldanha,-33.0117,17.9442,18.03,93,17,7.05,ZA,1675639608
117,praia,14.9215,-23.5087,20.3,68,40,10.8,CV,1675639856
118,lasa,46.6166,10.7002,1.49,92,56,2.65,IT,1675639560
119,severo-kurilsk,50.6789,156.125,-3.22,78,98,3.33,RU,1675639538
120,nhulunbuy,-12.2333,136.7667,29.34,74,75,3.09,AU,1675639746
121,chuy,-33.6971,-53.4616,19.88,77,0,3.48,UY,1675639540
122,hof,50.3167,11.9167,-2.53,91,75,2.57,DE,1675639857
123,manjeshwar,12.7194,74.8861,24.53,88,13,2.0,IN,1675639858
124,porto novo,6.4965,2.6036,26.93,85,100,3.98,BJ,1675639630
125,tabou,4.423,-7.3528,26.32,86,97,3.69,CI,1675639858
126,asau,46.4333,26.4,-4.29,93,100,4.11,RO,1675639664
127,klaksvik,62.2266,-6.589,9.51,93,100,15.44,FO,1675639618
128,grindavik,63.8424,-22.4338,4.26,60,75,19.55,IS,1675639733
129,belyy yar,53.6039,91.3903,-23.97,79,40,0.0,RU,1675639739
130,vila franca do campo,37.7167,-25.4333,15.23,82,67,3.47,PT,1675639688
131,overyata,58.0868,55.8709,-10.93,98,100,1.26,RU,1675639859
132,shahr-e babak,30.1165,55.1186,4.53,55,33,2.81,IR,1675639860
133,roald,62.5833,6.1333,6.16,81,100,7.2,NO,1675639861
134,arkansas city,37.062,-97.0384,17.79,25,0,2.06,US,1675639861
135,makakilo city,21.3469,-158.0858,27.18,63,20,9.26,US,1675639689
136,boa vista,2.8197,-60.6733,25.99,78,20,3.09,BR,1675639862
137,khatanga,71.9667,102.5,-37.12,99,57,2.89,RU,1675639667
138,sao filipe,14.8961,-24.4956,21.27,63,96,7.7,CV,1675639749
139,yellowknife,62.456,-114.3525,-20.25,77,100,6.17,CA,1675639301
